transaction_id,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,account_id,account_type_txn,account_type_acct,account_number,balance,created_at_acct,customer_id,name,email,phone,address,dob,created_at_cust,is_fraud,fraud_reasons,agg_txn_count,agg_avg_amount,agg_std_amount,agg_max_amount,agg_unique_merchants,agg_unique_locations,past_txn_count,past_avg_amount,past_common_merchant,past_common_location
e192129b-7d86-40bf-866b-8f1bbbeb9d24,2025-02-01T13:42:32.737133,273.1,transfer,Cameron Inc,South Nancyport,False,False,80114.22,79841.12,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,0.0,,
ec35db1d-533e-40e5-84c7-f46390a17d24,2025-02-04T20:57:26.962659,1648.26,payment,Stevens-Johnston,West Debbiemouth,False,False,79841.12,81489.38,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,8.032352941176475,Cameron Inc,South Nancyport
cf338497-868b-47b2-a938-de98a9718888,2025-02-06T23:04:00.118774,1925.26,payment,"Shaw, Jacobson and Padilla",Hannahport,False,False,76121.93,78047.19,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,56.51058823529412,Cameron Inc,South Nancyport
f9151304-4f51-43ef-a680-e6e8f2bdd06d,2025-02-08T10:19:44.692412,808.23,purchase,Hernandez and Sons,Carlsonfurt,False,False,76121.93,75313.7,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,113.13588235294118,Cameron Inc,South Nancyport
899b980a-170e-4b7f-a767-a2092e29086c,2025-02-08T10:26:46.000104,808.23,purchase,Hernandez and Sons,Carlsonfurt,False,False,76121.93,75313.7,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,136.90735294117647,Cameron Inc,South Nancyport
1e0f5d30-160e-4857-a38c-85f0731499cb,2025-02-08T10:31:37.938858,808.23,purchase,Hernandez and Sons,Carlsonfurt,False,False,76121.93,75313.7,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,160.67882352941177,Hernandez and Sons,Carlsonfurt
6f824a57-3fe4-495b-81cf-337d76a3f5ec,2025-02-08T23:57:13.312617,1645.55,deposit,Carlson LLC,Smithchester,False,False,78047.19,79692.74,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,184.45029411764705,Hernandez and Sons,Carlsonfurt
f8c28bd5-61cd-402d-8979-b4e044e66b59,2025-02-15T16:37:58.271880,1332.74,transfer,"Aguirre, Franklin and Snyder",New Donna,False,False,4649.21,3316.47,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,232.8488235294118,Hernandez and Sons,Carlsonfurt
04473ee0-e75f-479d-a2ae-62e688aae6c5,2025-02-15T16:46:18.745428,1332.74,transfer,"Aguirre, Franklin and Snyder",New Donna,False,False,4649.21,3316.47,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,272.0470588235294,Hernandez and Sons,Carlsonfurt
54f14943-b7bb-4ab2-92e3-024acf8af7cc,2025-02-15T16:52:06.309107,1332.74,transfer,"Aguirre, Franklin and Snyder",New Donna,False,False,4649.21,3316.47,01276562-b71c-4d5e-a535-b6d76c076d0e,savings,savings,LHUC00330923271937,76121.93,2023-09-10T06:17:51.365504,4db2e176-f2b0-4244-8386-2b20107500e3,Valerie Gray,maria95@example.net,610.934.1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",1954-11-06,2020-03-02T21:00:19.367518,False,,35,6760.198000000002,18658.550549442283,66803.12,17,17,34,311.24529411764706,Hernandez and Sons,Carlsonfurt
