transaction_id,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,account_id,account_type_txn,account_type_acct,account_number,balance,created_at_acct,customer_id,name,email,phone,address,dob,created_at_cust,is_fraud,fraud_reasons,agg_txn_count,agg_avg_amount,agg_std_amount,agg_max_amount,agg_unique_merchants,agg_unique_locations,past_txn_count,past_avg_amount,past_common_merchant,past_common_location,anomaly_score,predicted_fraud
241bf4b9-452a-4ebe-8361-8f4cbe9f7c91,2025-01-06T14:06:36.899198,1302.82,deposit,Bolton-Ford,West Christopherberg,False,False,25236.28,26539.1,00aa17dc-45f9-4619-aa0d-02ca3573fb10,credit,credit,HQNS22219693792374,25236.28,2022-06-04T11:05:07.319698,ac152808-8adc-4e2f-977c-ea98acb77290,Julie King,frazierdanny@example.net,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",1955-08-26,2022-12-29T03:15:30.590451,False,,10,717.452,649.2921630308912,1985.75,10,10,9,0.0,,,0.0018278351905450217,1
42e61f55-3b7d-405e-b98b-df395ade8f68,2025-02-03T01:45:46.067352,355.51,deposit,"Orozco, Hatfield and Thomas",Port Christopher,False,False,33240.48,33595.99,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,0.0,,,0.0029756138174901765,1
c2c3d34c-e32c-4d2f-898e-1415e39e00c5,2025-02-15T19:00:06.648171,1500.21,payment,Brennan-Garrison,East Lisa,False,False,34754.25,36254.46,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,29.625833333333333,"Orozco, Hatfield and Thomas",Port Christopher,0.002840766131400537,1
43381f7f-608e-4f3b-94d9-dbf0299c1ddd,2025-02-15T19:26:14.440988,1500.21,payment,Brennan-Garrison,East Lisa,False,False,34754.25,36254.46,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,154.64333333333337,"Orozco, Hatfield and Thomas",Port Christopher,0.0028403339954990044,1
bfa63b19-a244-49f6-b7b4-edc27e4ed03c,2025-02-15T19:58:53.031251,1500.21,payment,Brennan-Garrison,East Lisa,False,False,34754.25,36254.46,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,279.66083333333336,Brennan-Garrison,East Lisa,0.0023632339333957086,1
e107c9de-5d8e-4da6-aea2-3d9f80bf68ef,2025-03-03T03:59:42.527122,1382.11,purchase,"Robbins, Jackson and Wallace",Williamsstad,False,False,36254.46,34872.35,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,404.6783333333333,Brennan-Garrison,East Lisa,0.002317704690828806,1
08118bca-7f2e-4444-88e4-bff1b2c55011,2025-03-03T04:34:36.711270,1382.11,purchase,"Robbins, Jackson and Wallace",Williamsstad,False,False,36254.46,34872.35,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,519.8541666666666,Brennan-Garrison,East Lisa,0.0023209387738234596,1
c1fe2901-bb02-475f-ac72-b803a00f5619,2025-03-03T05:18:12.904327,1382.11,purchase,"Robbins, Jackson and Wallace",Williamsstad,False,False,36254.46,34872.35,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,635.03,Brennan-Garrison,East Lisa,0.002324971446179512,1
7043b95c-af80-4e26-ac72-ea7400d2a5be,2025-03-04T08:09:42.586877,1496.89,purchase,Wilson PLC,Brittneyberg,False,False,33595.99,32099.1,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,False,,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,750.2058333333333,Brennan-Garrison,East Lisa,0.00263553487010911,1
5a70edf5-992b-4298-a1fc-978433dfe5e5,2025-03-07T13:16:06.080195,675.58,ATM Withdrawal,"Hall, Mann and Smith",Brooksfort,False,False,34677.37,34001.79,00c55d78-6848-4d06-bc18-685e385e2ae8,credit,credit,KVTB51518644925192,34677.37,2024-11-01T01:09:20.098523,f3e4d128-d063-453b-8d54-3798beac36a8,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,"97882 Susan Common, North Brooke, TX 31329",1966-09-23,2024-12-18T22:03:48.446953,True,simulated_unusual_type,13,935.9146153846152,613.4739876122892,1500.21,7,7,12,874.9466666666666,Brennan-Garrison,East Lisa,0.002661550383988302,1
